INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,2254.921,2456.914,2198.921,2870.996,2878.21,2868.996,670.0757,27,0,945.3306,27,0,468.4114,27,0,86.165,12.213,1.622,3156400,0.74,0.752,0.046,0.86976318
I00699,2,94816.382,95091.775,94758.382,111176.263,111185.759,111174.263,16415.8814,28,0,15047.9936,28,0,11054.7143,28,0,75.29,23.772,0.937,1826307284,0.515,0.52,0.195,0.757589987
I00699,3,3665.384,3855.59,3611.384,4809.379,4816.423,4807.379,1195.9942,26,0,1218.2728,26,0,471.1358,26,0,85.077,14.256,0.667,5405710,0.708,0.713,0.107,0.854101034
I00699,4,2974.984,3171.865,2918.984,3530.219,3537.251,3528.219,609.235,27,0,558.9071,27,0,242.9225,27,0,81.114,17.923,0.963,3590232,0.632,0.638,0.065,0.815954373
I00699,5,2691.511,2755.602,2673.511,2888.369,2895.49,2886.369,212.858,8,0,220.3918,8,0,193.2459,8,0,64.84,22.799,12.361,2968970,0.42,0.48,0.03,0.710202191
I00699,6,6256.827,6563.995,6198.827,9591.24,9601.832,9589.24,3390.4135,28,0,12644.3098,28,0,1806.0771,28,0,91.894,2.516,5.59,199007238,0.894,0.947,0.004,0.946890917
I00699,7,13997.083,14249.412,13939.083,18914.932,18923.633,18912.932,4973.8496,28,0,6081.5626,28,0,3579.017,28,0,86.022,12.71,1.267,102463878,0.733,0.743,0.076,0.866558447
I00699,8,24101.557,24302.868,24053.557,29955.754,29964.142,29953.754,5900.1977,23,0,5409.8578,23,0,4038.8422,23,0,79.927,18.992,1.081,151113516,0.609,0.616,0.175,0.804676734
I00699,9,17132.082,17356.95,17076.082,21625.175,21633.206,21623.175,4547.0928,27,0,4138.4269,27,0,3002.7216,27,0,80.558,18.412,1.03,77166391,0.621,0.628,0.186,0.810726933
I00699,10,37013.393,37261.566,36959.393,49358.397,49367.589,49356.397,12397.0045,26,0,12258.2449,26,0,8208.6427,26,0,84.673,14.635,0.692,502708591,0.7,0.705,0.134,0.850192801
I00699,11,20356.872,20578.192,20306.872,28312.307,28321.16,28310.307,8003.4348,24,0,9112.4179,24,0,5514.3636,24,0,86.741,12.389,0.869,192108672,0.744,0.75,0.107,0.87176017
I00699,12,13825.788,14051.911,13767.788,18256.799,18264.596,18254.799,4487.0109,28,0,4059.8721,28,0,2815.0444,28,0,82.322,16.822,0.855,52752240,0.655,0.661,0.214,0.82749996
I00699,13,23913.193,24130.528,23859.193,28599.29,28607.339,28597.29,4738.0969,26,0,4112.8784,26,0,3303.736,26,0,76.411,22.871,0.718,114243690,0.535,0.539,0.228,0.767702116
I00699,14,10272.415,10484.278,10216.415,12818.035,12825.601,12816.035,2599.6201,27,0,2379.0608,27,0,1737.7136,27,0,80.803,18.593,0.604,28167060,0.622,0.626,0.172,0.811047532
I00699,15,84166.872,84429.36,84110.872,104654.876,104664.25,104652.876,20542.0039,27,0,17075.1431,27,0,11985.1774,27,0,77.704,21.378,0.918,1556877136,0.563,0.568,0.231,0.781632613
I00699,16,4421.033,4596.073,4369.033,5453.907,5460.639,5451.907,1082.8731,25,0,997.0384,25,0,686.523,25,0,79.766,18.968,1.266,5166336,0.608,0.616,0.163,0.803986229
I00699,17,5243.675,5469.737,5189.675,9281.505,9289.877,9279.505,4089.8295,26,0,6521.33,26,0,2297.6192,26,0,92.26,5.418,2.321,32648352,0.868,0.889,0.055,0.934210707
I00699,18,19226.138,19489.606,19172.138,37932.534,37942.292,37930.534,18758.3962,26,0,29706.4453,26,0,7309.5763,26,0,95.145,3.651,1.204,536439818,0.915,0.926,0.06,0.95747061
I00699,19,5460.481,5653.817,5412.481,9468.203,9476.258,9466.203,4053.7217,23,0,5842.7579,23,0,2173.9264,23,0,92.807,5.784,1.409,26547372,0.87,0.883,0.085,0.93511612
I00699,20,4790.154,5003.045,4736.154,7763.389,7771.274,7761.389,3025.2351,26,0,3821.5897,26,0,1634.103,26,0,92.26,6.814,0.926,18207280,0.854,0.862,0.081,0.927230838
I00699,21,13323.671,13550.838,13267.671,17696.55,17704.663,17694.55,4426.8788,27,0,4293.6433,27,0,2700.5064,27,0,84.37,14.726,0.904,62340495,0.696,0.703,0.143,0.848221072
I00699,22,22259.479,22523.72,22201.479,36100.8,36109.912,36098.8,13897.3207,28,0,14435.7845,28,0,5479.7989,28,0,91.251,7.747,1.002,315852629,0.835,0.843,0.118,0.91751977
I00699,23,18661.364,18926.44,18605.364,30745.87,30755.337,30743.87,12138.5057,27,0,20375.2254,27,0,7953.1692,27,0,90.755,6.645,2.599,331928352,0.841,0.864,0.061,0.920550317
